year,exporter_iso3_code,product,value,region,country
2002,AGO,Art & Collectibles,5.5,Africa,Angola
2002,AGO,Base Metals,32.225,Africa,Angola
2002,AGO,Energy & Minerals,3275762.78,Africa,Angola
2002,AGO,Machinery & Industrial Goods,2963.799,Africa,Angola
2002,BDI,"Chemicals, Pharma & Plastics",32.783,Africa,Burundi
2002,BDI,Machinery & Industrial Goods,744.931,Africa,Burundi
2002,BDI,Textiles & Apparel,8.788,Africa,Burundi
2002,BEN,Agricultural Products,616.106,Africa,Benin
2002,BEN,Art & Collectibles,19.203000000000003,Africa,Benin
2002,BEN,Handicrafts & Consumer Goods,151.297,Africa,Benin
2002,BEN,Textiles & Apparel,0.94,Africa,Benin
2002,BFA,Agricultural Products,10.132,Africa,Burkina Faso
2002,BFA,Art & Collectibles,280.885,Africa,Burkina Faso
2002,BFA,Base Metals,47.330999999999996,Africa,Burkina Faso
2002,BFA,"Chemicals, Pharma & Plastics",2.157,Africa,Burkina Faso
2002,BFA,Handicrafts & Consumer Goods,2336.686,Africa,Burkina Faso
2002,BFA,Machinery & Industrial Goods,21.017000000000003,Africa,Burkina Faso
2002,BFA,Textiles & Apparel,131.129,Africa,Burkina Faso
2002,BWA,Agricultural Products,42.094,Africa,Botswana
2002,BWA,Art & Collectibles,5.556,Africa,Botswana
2002,BWA,Base Metals,22.058,Africa,Botswana
2002,BWA,"Chemicals, Pharma & Plastics",6.12,Africa,Botswana
2002,BWA,Handicrafts & Consumer Goods,22886.701,Africa,Botswana
2002,BWA,Textiles & Apparel,6569.604,Africa,Botswana
2002,CAF,Agricultural Products,472.04100000000005,Africa,Central African Republic
2002,CAF,Art & Collectibles,5.89,Africa,Central African Republic
2002,CAF,Base Metals,2.619,Africa,Central African Republic
2002,CAF,Handicrafts & Consumer Goods,1374.8069999999998,Africa,Central African Republic
2002,CAF,Machinery & Industrial Goods,117.268,Africa,Central African Republic
2002,CAF,Textiles & Apparel,20.900000000000002,Africa,Central African Republic
2002,CIV,Agricultural Products,291255.897,Africa,Cote d'Ivoire
2002,CIV,Art & Collectibles,1245.367,Africa,Cote d'Ivoire
2002,CIV,Base Metals,3714.788,Africa,Cote d'Ivoire
2002,CIV,"Chemicals, Pharma & Plastics",3062.045,Africa,Cote d'Ivoire
2002,CIV,Energy & Minerals,79777.558,Africa,Cote d'Ivoire
2002,CIV,Handicrafts & Consumer Goods,13025.878,Africa,Cote d'Ivoire
2002,CIV,Machinery & Industrial Goods,4027.332,Africa,Cote d'Ivoire
2002,CIV,Textiles & Apparel,414.052,Africa,Cote d'Ivoire
2002,CMR,Agricultural Products,15605.536,Africa,Cameroon
2002,CMR,Art & Collectibles,507.263,Africa,Cameroon
2002,CMR,Base Metals,216.08,Africa,Cameroon
2002,CMR,"Chemicals, Pharma & Plastics",3482.5840000000003,Africa,Cameroon
2002,CMR,Energy & Minerals,147231.737,Africa,Cameroon
2002,CMR,Handicrafts & Consumer Goods,10948.203,Africa,Cameroon
2002,CMR,Machinery & Industrial Goods,2803.025,Africa,Cameroon
2002,CMR,Textiles & Apparel,1320.568,Africa,Cameroon
2002,COD,Agricultural Products,1736.98,Africa,DR Congo
2002,COD,Art & Collectibles,3235.098,Africa,DR Congo
2002,COD,Base Metals,3793.455,Africa,DR Congo
2002,COD,"Chemicals, Pharma & Plastics",313.76,Africa,DR Congo
2002,COD,Energy & Minerals,171996.81900000002,Africa,DR Congo
2002,COD,Handicrafts & Consumer Goods,29384.946,Africa,DR Congo
2002,COD,Machinery & Industrial Goods,267.123,Africa,DR Congo
2002,COD,Textiles & Apparel,29.281,Africa,DR Congo
2002,COG,Agricultural Products,3738.958,Africa,Congo Republic
2002,COG,Art & Collectibles,639.317,Africa,Congo Republic
2002,COG,"Chemicals, Pharma & Plastics",54.436,Africa,Congo Republic
2002,COG,Energy & Minerals,170880.386,Africa,Congo Republic
2002,COG,Handicrafts & Consumer Goods,15356.105,Africa,Congo Republic
2002,COG,Machinery & Industrial Goods,228.44299999999998,Africa,Congo Republic
2002,COG,Textiles & Apparel,8.159,Africa,Congo Republic
2002,COM,Agricultural Products,48.001,Africa,Comoros
2002,COM,"Chemicals, Pharma & Plastics",44.209,Africa,Comoros
2002,COM,Handicrafts & Consumer Goods,35.061,Africa,Comoros
2002,COM,Machinery & Industrial Goods,5261.4619999999995,Africa,Comoros
2002,CPV,Agricultural Products,54.599,Africa,Cabo Verde
2002,CPV,"Chemicals, Pharma & Plastics",12.176,Africa,Cabo Verde
2002,CPV,Handicrafts & Consumer Goods,67.538,Africa,Cabo Verde
2002,CPV,Machinery & Industrial Goods,32.798,Africa,Cabo Verde
2002,CPV,Textiles & Apparel,1798.202,Africa,Cabo Verde
2002,DJI,Agricultural Products,26.559,Africa,Djibouti
2002,DJI,"Chemicals, Pharma & Plastics",17.602,Africa,Djibouti
2002,DJI,Handicrafts & Consumer Goods,9.064,Africa,Djibouti
2002,DJI,Machinery & Industrial Goods,125.848,Africa,Djibouti
2002,DZA,Agricultural Products,103.747,Africa,Algeria
2002,DZA,Art & Collectibles,135.689,Africa,Algeria
2002,DZA,Base Metals,4720.686,Africa,Algeria
2002,DZA,"Chemicals, Pharma & Plastics",14755.868,Africa,Algeria
2002,DZA,Energy & Minerals,2560944.46,Africa,Algeria
