year,exporter_iso3_code,sector,value,region,country
2002,AGO,Art & Collectibles,5.5,Africa,Angola
2002,AGO,Base Metals,32.225,Africa,Angola
2002,AGO,Energy & Minerals,3275762.78,Africa,Angola
2002,AGO,Industrial Equipment & Technology,2963.799,Africa,Angola
2002,BDI,Chemical & Pharmaceutical,32.783,Africa,Burundi
2002,BDI,Industrial Equipment & Technology,744.931,Africa,Burundi
2002,BDI,Textile & Apparel Manufacturing,8.788,Africa,Burundi
2002,BEN,Agricultural & Foods,616.106,Africa,Benin
2002,BEN,Art & Collectibles,19.203000000000003,Africa,Benin
2002,BEN,Consumer Goods & Crafts,151.297,Africa,Benin
2002,BEN,Textile & Apparel Manufacturing,0.94,Africa,Benin
2002,BFA,Agricultural & Foods,10.132,Africa,Burkina Faso
2002,BFA,Art & Collectibles,280.885,Africa,Burkina Faso
2002,BFA,Base Metals,47.330999999999996,Africa,Burkina Faso
2002,BFA,Chemical & Pharmaceutical,2.157,Africa,Burkina Faso
2002,BFA,Consumer Goods & Crafts,2336.686,Africa,Burkina Faso
2002,BFA,Industrial Equipment & Technology,21.017000000000003,Africa,Burkina Faso
2002,BFA,Textile & Apparel Manufacturing,131.129,Africa,Burkina Faso
2002,BWA,Agricultural & Foods,42.094,Africa,Botswana
2002,BWA,Art & Collectibles,5.556,Africa,Botswana
2002,BWA,Base Metals,22.058,Africa,Botswana
2002,BWA,Chemical & Pharmaceutical,6.12,Africa,Botswana
2002,BWA,Consumer Goods & Crafts,22886.701,Africa,Botswana
2002,BWA,Textile & Apparel Manufacturing,6569.604,Africa,Botswana
2002,CAF,Agricultural & Foods,472.04100000000005,Africa,Central African Republic
2002,CAF,Art & Collectibles,5.89,Africa,Central African Republic
2002,CAF,Base Metals,2.619,Africa,Central African Republic
2002,CAF,Consumer Goods & Crafts,1374.8069999999998,Africa,Central African Republic
2002,CAF,Industrial Equipment & Technology,117.268,Africa,Central African Republic
2002,CAF,Textile & Apparel Manufacturing,20.900000000000002,Africa,Central African Republic
2002,CIV,Agricultural & Foods,291255.897,Africa,Côte d'Ivoire
2002,CIV,Art & Collectibles,1245.367,Africa,Côte d'Ivoire
2002,CIV,Base Metals,3714.788,Africa,Côte d'Ivoire
2002,CIV,Chemical & Pharmaceutical,3062.045,Africa,Côte d'Ivoire
2002,CIV,Consumer Goods & Crafts,13025.878,Africa,Côte d'Ivoire
2002,CIV,Energy & Minerals,79777.558,Africa,Côte d'Ivoire
2002,CIV,Industrial Equipment & Technology,4027.332,Africa,Côte d'Ivoire
2002,CIV,Textile & Apparel Manufacturing,414.052,Africa,Côte d'Ivoire
2002,CMR,Agricultural & Foods,15605.536,Africa,Cameroon
2002,CMR,Art & Collectibles,507.263,Africa,Cameroon
2002,CMR,Base Metals,216.08,Africa,Cameroon
2002,CMR,Chemical & Pharmaceutical,3482.5840000000003,Africa,Cameroon
2002,CMR,Consumer Goods & Crafts,10948.203,Africa,Cameroon
2002,CMR,Energy & Minerals,147231.737,Africa,Cameroon
2002,CMR,Industrial Equipment & Technology,2803.025,Africa,Cameroon
2002,CMR,Textile & Apparel Manufacturing,1320.568,Africa,Cameroon
2002,COD,Agricultural & Foods,1736.98,Africa,DR Congo
2002,COD,Art & Collectibles,3235.098,Africa,DR Congo
2002,COD,Base Metals,3793.455,Africa,DR Congo
2002,COD,Chemical & Pharmaceutical,313.76,Africa,DR Congo
2002,COD,Consumer Goods & Crafts,29384.946,Africa,DR Congo
2002,COD,Energy & Minerals,171996.81900000002,Africa,DR Congo
2002,COD,Industrial Equipment & Technology,267.123,Africa,DR Congo
2002,COD,Textile & Apparel Manufacturing,29.281,Africa,DR Congo
2002,COG,Agricultural & Foods,3738.958,Africa,Congo Republic
2002,COG,Art & Collectibles,639.317,Africa,Congo Republic
2002,COG,Chemical & Pharmaceutical,54.436,Africa,Congo Republic
2002,COG,Consumer Goods & Crafts,15356.105,Africa,Congo Republic
2002,COG,Energy & Minerals,170880.386,Africa,Congo Republic
2002,COG,Industrial Equipment & Technology,228.44299999999998,Africa,Congo Republic
2002,COG,Textile & Apparel Manufacturing,8.159,Africa,Congo Republic
2002,COM,Agricultural & Foods,48.001,Africa,Comoros
2002,COM,Chemical & Pharmaceutical,44.209,Africa,Comoros
2002,COM,Consumer Goods & Crafts,35.061,Africa,Comoros
2002,COM,Industrial Equipment & Technology,5261.4619999999995,Africa,Comoros
2002,CPV,Agricultural & Foods,54.599,Africa,Cabo Verde
2002,CPV,Chemical & Pharmaceutical,12.176,Africa,Cabo Verde
2002,CPV,Consumer Goods & Crafts,67.538,Africa,Cabo Verde
2002,CPV,Industrial Equipment & Technology,32.798,Africa,Cabo Verde
2002,CPV,Textile & Apparel Manufacturing,1798.202,Africa,Cabo Verde
2002,DJI,Agricultural & Foods,26.559,Africa,Djibouti
2002,DJI,Chemical & Pharmaceutical,17.602,Africa,Djibouti
2002,DJI,Consumer Goods & Crafts,9.064,Africa,Djibouti
2002,DJI,Industrial Equipment & Technology,125.848,Africa,Djibouti
2002,DZA,Agricultural & Foods,102.202,Africa,Algeria
2002,DZA,Art & Collectibles,135.689,Africa,Algeria
2002,DZA,Base Metals,4604.018,Africa,Algeria
2002,DZA,Chemical & Pharmaceutical,14858.449,Africa,Algeria
2002,DZA,Consumer Goods & Crafts,250.986,Africa,Algeria
