Commodity,Country,Time,Customs  Value (Cons) ($US),Unnamed: 4
"0106193000 Foxes, Live (no)",Egypt,2023,"12,600",
"0106200000 Reptiles (including Snakes And Turtles), Live (no)",Congo (Brazzaville),2023,"27,450",
"0106200000 Reptiles (including Snakes And Turtles), Live (no)",Congo (Kinshasa),2023,"64,910",
"0106200000 Reptiles (including Snakes And Turtles), Live (no)",Egypt,2023,"274,664",
"0106390100 Birds, Live, Nesoi (no)",Congo (Kinshasa),2023,"20,000",
"0301110090 Freshwater Fish, Ornamental, Live, Nesoi (kg)",Congo (Brazzaville),2023,"49,278",
"0301110090 Freshwater Fish, Ornamental, Live, Nesoi (kg)",Congo (Kinshasa),2023,"39,029",
"0301110090 Freshwater Fish, Ornamental, Live, Nesoi (kg)",Djibouti,2023,"8,157",
"0301110090 Freshwater Fish, Ornamental, Live, Nesoi (kg)",Egypt,2023,"43,639",
"0301110090 Freshwater Fish, Ornamental, Live, Nesoi (kg)",Ethiopia,2023,"38,690",
"0301190000 Fish, Ornamental, Live, Nesoi (kg)",Congo (Kinshasa),2023,"13,094",
"0301190000 Fish, Ornamental, Live, Nesoi (kg)",Djibouti,2023,"135,258",
"0301190000 Fish, Ornamental, Live, Nesoi (kg)",Egypt,2023,"10,000",
"0301920000 EEls (anguilla Spp.), Live (kg)",Egypt,2023,"404,090",
"0303230000 Tilapia (oreochromis), Fz Exc Fillet, Liver & Roe (kg)",Egypt,2023,"20,467",
"0303890043 Fish, Freshwater Frozen Exc Fillet Liver Roe Nesoi (kg)",Congo (Kinshasa),2023,"3,060",
0305204065 Fish Livers & Roes Dried/smoked/salted/brine Nesoi (kg),Egypt,2023,"2,710",
"0305396180 Fish Fillets, Dried, Salted Or In Brine, Nesoi (kg)",Egypt,2023,"32,497",
"0305420060 Herrings, Smoked, Nesoi (kg)",Egypt,2023,"75,139",
"0305440100 Smoked Tilapia, Carfish, Carp,eel,nile Perch Skhd (kg)",Cote d'Ivoire,2023,"3,097",
"0305494045 Smoked Fish Including Fillets, Nesoi (kg)",Congo (Kinshasa),2023,"7,600",
"0305494045 Smoked Fish Including Fillets, Nesoi (kg)",Cote d'Ivoire,2023,"2,208",
"0305590001 Fish, Dried, Salted Or Not, But Not Smoked, Nesoi (kg)",Egypt,2023,"86,358",
0305612000 Herrings Salted In Containers W/ Contents Lt=6.8kg (kg),Egypt,2023,"10,180",
"0305614000 Herrings, Salted, Not Dried/smoked, In Brine Nesoi (kg)",Egypt,2023,"2,310",
"0306110010 Caribbean Spiny Lobster (panulirus Argus), Frozen (kg)",Egypt,2023,"73,637",
"0306110020 Rock Lobster And Other Sea Crawfish, Frozen, Nesoi (kg)",Egypt,2023,"1,759,732",
"0306144090 Crabs, Frozen, Except Crabmeat, Nesoi (kg)",Egypt,2023,"398,484",
"0306190110 Freshwater Crawfish, Frozen (kg)",Egypt,2023,"257,737",
"0306190161 Crustaceans, Frozen, Nesoi (kg)",Egypt,2023,"351,432",
"0307600000 Snails, Other Than Sea Snails (kg)",Cote d'Ivoire,2023,"57,272",
"0307920190 Mollusc, Frozen, Nesoi (kg)",Cote d'Ivoire,2023,"2,400",
"0308900100 Aquatic Invertebrates, Nesoi (kg)",Egypt,2023,"20,625",
"0405902020 Anhydrous Milk Fat, Nesoi (kg)",Egypt,2023,"230,697",
"0405902040 Fats And Oils Derived From Milk, Nesoi (kg)",Egypt,2023,"27,070",
"0406109500 Fresh Cheese (unripened)/whey Cheese/curd, Nesoi (kg)",Egypt,2023,"237,094",
"0406209500 Cheese Incl Mixtures, Grated Or Powdered, Nesoi (kg)",Egypt,2023,"166,572",
"0406305100 Gruyere-process Cheese,n/gratd Etc,addtl Us Nte 22 (kg)",Egypt,2023,"275,093",
"0406305300 Gruyere-process Cheese, Not Grated/powdered, Nesoi (kg)",Egypt,2023,"139,179",
"0406308900 Procsd Chese(cow's Milk),n/grd,nesoi,addtl Note 16 (kg)",Egypt,2023,"56,280",
"0406309100 Cheese, Processd Cntng Cow's Milk, Not Gr/pw,nesoi (kg)",Egypt,2023,"8,000",
"0406904300 Romano/reggiano/parmesan/provolone Cheeses, Nesoi (kg)",Egypt,2023,"33,125",
0406905700 Cheese Pecorino In Orig Loaves Nt Suitb For Gratng (kg),Egypt,2023,"119,760",
"0406905900 Cheeses Made From Sheep's Milk, Nesoi (kg)",Egypt,2023,"2,060",
"0406909500 Cheese Mxtrs,nesoi,cntn Cows Mlk,addtl U S Note 16 (kg)",Egypt,2023,"772,389",
"0406909700 Cheese Substes Mixtrs,nesoi,cntn Cows Milk,nesoi (kg)",Egypt,2023,"9,325",
"0406909900 Cheese And Substitues Including Mixtures, Nesoi (kg)",Egypt,2023,"820,331",
"0409000010 Comb Honey, Honey Pckgd For Retl Sale, Not Organic (kg)",Egypt,2023,"133,903",
"0409000010 Comb Honey, Honey Pckgd For Retl Sale, Not Organic (kg)",Ethiopia,2023,"5,946",
"0409000056 Natural Honey, Light Amber Nt Organic Nt Pckgd Rtl (kg)",Egypt,2023,"237,172",
"0409000065 Natural Honey, Amber/dark, Nt Organic Nt Pckgd Rtl (kg)",Egypt,2023,"34,684",
"0409000065 Natural Honey, Amber/dark, Nt Organic Nt Pckgd Rtl (kg)",Ethiopia,2023,"6,129",
"0511993060 Products Used As Food, Ingr, For Animals, Nesoi (kg)",Egypt,2023,"6,447",
"0511994070 Animal Products Nesoi, Dead Animals Ch 1, Inedible (kg)",Egypt,2023,"2,288",
"0602100000 Unrooted Cuttings And Slips Of Plants, Nesoi (no)",Ethiopia,2023,"390,286",
"0602909090 Plants, Live, Without Soil Attached To Roots Nesoi (no)",Ethiopia,2023,"73,857",
"0603110030 Spray Roses, Fresh (no)",Ethiopia,2023,"48,609",
"0603110050 Roses, Fresh Cut, Other Than Spray Roses (no)",Ethiopia,2023,"2,512,454",
"0603127000 Standard Carnations, Fresh (no)",Ethiopia,2023,"2,006",
"0603190120 Gypsophila, Fresh (no)",Ethiopia,2023,"12,872",
"0603190127 Cut Flowers And Flower Buds, Fresh, Hypericum (no)",Ethiopia,2023,"117,229",
"0603190190 Cut Flowers And Flower Buds,  Fresh, Nesoi (no)",Ethiopia,2023,"373,376",
"0603190195 Cut Flowers And Flower Buds,  Fresh, Nesoi (no)",Ethiopia,2023,"46,819",
"0603900000 Cut Flowers/buds Dried, Dyed Or Otherwise Prepared (no)",Egypt,2023,"103,553",
"0604200080 Foliage, Branches Etc, Fresh, Nesoi (no)",Ethiopia,2023,"435,761",
"0604200086 Foliage, Branches Etc, Fresh, Nesoi (no)",Ethiopia,2023,"352,511",
"0604903000 Foliages, Branches Etc, Dried Or Bleached (no)",Egypt,2023,"52,680",
"0604906000 Foliage, Branches Etc Dyed Impregnated/othrwse Pre (no)",Egypt,2023,"4,000",
"0703104025 Onions Oth Th Pearl Or Sets, Cert Org,fr/ch Nesoi (kg)",Egypt,2023,"15,466",
"0703104065 Onions Oth Th Pearl Or Sets, Nt Cert Org,fr/ch Nes (kg)",Egypt,2023,"309,452",
"0703200015 Garlic, Fresh Whole Bulbs, Nesoi (kg)",Egypt,2023,"135,822",
"0703200020 Garlic, Fresh Whole Peeled Cloves (kg)",Egypt,2023,"305,203",
"0704102000 Cauliflower, Headed Broccoli Entry 6/5-10/15 Fr/ch (kg)",Egypt,2023,"3,956",
"0706102000 Carrots, Fresh Or Chilled, Nesoi (kg)",Egypt,2023,"35,200",
"0709402000 Celery Other Than Celeriac, Reduced In Size, Fr/ch (kg)",Egypt,2023,"32,050",
"0709591100 Truffles, Fresh Or Chilled (kg)",Ethiopia,2023,"2,973",
"0709910000 Globe Artichokes, Fresh Or Chilled (kg)",Egypt,2023,"38,350",
0710212000 Peas Raw/cook In Boiling Water Entry 7/1-9/30 Frzn (kg),Egypt,2023,"91,534",
0710214000 Peas Raw/cook In Boiling Water Entry 10/1-6/30 Fzn (kg),Egypt,2023,"191,411",
"0710222500 String Bean (snap Bean) Whole Raw/cookd Water,frzn (kg)",Egypt,2023,"1,573,701",
"0710223700 Beans, Whole, Raw/cooked In Boiling H2o, Fz, Nesoi (kg)",Egypt,2023,"1,010,791",
0710224010 Green/wax Bean Reduced In Size Raw/cook Boilng Frz (kg),Egypt,2023,"4,191,401",
"0710224090 Beans Reduced In Size,raw/cook By Boilng, Fz,nesoi (kg)",Egypt,2023,"810,343",
0710290500 Chickpeas/garbanzos Raw/cooked In Boiling Water Fz (kg),Egypt,2023,"3,100",
"0710294000 Leguminous Veg Raw/cooked By Boiling, Frzn, Nesoi (kg)",Egypt,2023,"191,365",
"0710300000 Spinach Raw/cooked By Steaming/boiling In Water,fz (kg)",Egypt,2023,"159,359",
"0710400000 Sweet Corn Raw/cooked By Steam/boiling In Water,fz (kg)",Egypt,2023,"120,683",
"0710804000 Tomatoes Raw/cook Boiling 3/1-7/14,9/1-11/14, Frzn (kg)",Egypt,2023,"133,479",
"0710804500 Tomatoes Raw/cooked By Boiling Water 7/15-8/31, Fz (kg)",Egypt,2023,"56,205",
"0710805000 Tomatoes Raw/cooked Boiling 11/15-last Day Feb, Fz (kg)",Egypt,2023,"12,607",
0710807040 Carrots Whole Raw Or Cooked By Steam/boil Water Fz (kg),Egypt,2023,"13,453",
"0710807060 Veg, Whole, Raw/cook By Boiling In H20, Fz, Nesoi (kg)",Cote d'Ivoire,2023,"10,821",
"0710807060 Veg, Whole, Raw/cook By Boiling In H20, Fz, Nesoi (kg)",Egypt,2023,"5,879,367",
"0710809300 Okra Reduced In Size Raw/cook By Boiling Water, Fz (kg)",Egypt,2023,"762,742",
0710809722 Broccoli Spears Reducd Size Raw/cook By Boiling Fz (kg),Egypt,2023,"19,186",
"0710809724 Broccoli Reduced,raw/cook By Boil Gt1.4kg,fz,nesoi (kg)",Egypt,2023,"395,918",
"0710809726 Broccoli, Reducd,raw/cook Boil,lt=1.4kg Fz,nesoi (kg)",Egypt,2023,"158,900",
0710809730 Cauliflower Reduced In Size Raw/cook By Boiling Fz (kg),Egypt,2023,"255,851",
"0710809765 Veg, Reduced, Raw/cook By Boiling In H20,fz,nesoi (kg)",Cote d'Ivoire,2023,"2,518",
"0710809765 Veg, Reduced, Raw/cook By Boiling In H20,fz,nesoi (kg)",Egypt,2023,"4,349,795",
"0710909100 Veg Mix, Raw/cooked By Boiling In Water, Fz, Nesoi (kg)",Egypt,2023,"6,520,504",
"0711203800 Olives, Not Pitted, Provisnly Pres,inedible,nesoi (kg)",Egypt,2023,"39,634",
"0711902000 Leguminous Veg Provisionally Preserved, Inedible (kg)",Egypt,2023,"33,768",
"0711906500 Veg & Veg Mix, Provisionally Pres, Inedible, Nesoi (kg)",Egypt,2023,"63,280",
0712202000 Onion Powder Or Flour (kg),Egypt,2023,"2,077,151",
"0712204000 Onions, Dried, Except Powder Or Flour (kg)",Egypt,2023,"2,617,983",
"0712391100 Mushrooms, Air Dried Or Sun Dried, Nesoi (kg)",Cote d'Ivoire,2023,"22,500",
"0712903000 Potatoes, Dried, W/n Cut/sliced, Not Furthr Preped (kg)",Egypt,2023,"59,976",
0712904020 Garlic Powder Or Flour (kg),Egypt,2023,"18,746",
"0712904040 Garlic, Dried, Except Powder Or Flour (kg)",Egypt,2023,"32,016",
"0712906000 Fennel/marjoram/parsley/savory/tarragon, Crude/drd (kg)",Egypt,2023,"4,294,770",
"0712906500 Parsley, Dried, Whole/cut/etc,not Further Prep,nes (kg)",Egypt,2023,"4,341,762",
"0712907000 Fennel, Marjoram, Savory, Tarragon, Dried, Nesoi (kg)",Egypt,2023,"686,349",
"0712908520 Celery Stalks,dried,whle/slicd/etc,not Furthr Prep (kg)",Egypt,2023,"93,574",
"0712908530 Leeks, Dried,whle/cut/slicd/etc,not Furthr Prepd (kg)",Egypt,2023,"9,714",
"0712908540 Spinach, Dried,whle/cut/slicd/etc,not Furthr Prepd (kg)",Egypt,2023,"3,000",
"0712908580 Vegetables & Mixtures Of Vegetables, Dried, Nesoi (kg)",Congo (Kinshasa),2023,"2,650",
"0712908580 Vegetables & Mixtures Of Vegetables, Dried, Nesoi (kg)",Cote d'Ivoire,2023,"2,144",
"0712908580 Vegetables & Mixtures Of Vegetables, Dried, Nesoi (kg)",Egypt,2023,"1,265,785",
"0713102000 Split Peas (ex Seed) Dried, Shelled W/n Skin/split (kg)",Ethiopia,2023,"3,200",
"0713104020 Green Peas, Except Seed, Dried, Shelled (kg)",Egypt,2023,"3,540",
"0713202075 Chickpeas (garbanzos), Dried, Shelled, Nesoi (kg)",Egypt,2023,"2,275",
0713312000 Bean Ex Seed Vigna Mungo Hepper 5/1-8/31 Drd Shell (kg),Egypt,2023,"2,570",
0713332030 Dark Red Kidney Bean  Ex Seed Entry 5/1-8/31 Dried (kg),Ethiopia,2023,"226,368",
"0713334030 Dark Red Kid Bean Ex Seed Entry 9/1-4/30,drd,sheld (kg)",Ethiopia,2023,"1,944,247",
"0713334090 Kidney Beans, Entry 9/1-4/30 Dr/shld, Nesoi (kg)",Egypt,2023,"7,020",
"0713392160 White Beans Ex Seed Entry 5/1-8/31 Dried Shd,nesoi (kg)",Ethiopia,2023,"85,360",
"0713392170 Beans (vigna,phaseolus) 5/1-8/31, Dried Shld,nesoi (kg)",Egypt,2023,"3,600",
"0713394160 White Beans Ex Seed, 9/1-4/30, Dried Shelled,nesoi (kg)",Ethiopia,2023,"255,440",
"0713394170 Beans (vigna, Phaseolus), 9/1-4/30, Drd Shld,nesoi (kg)",Egypt,2023,"6,511",
"0713402050 Red Lentils, Dried, Nt Org, Shelled, Nesoi (kg)",Egypt,2023,"8,294",
"0713502000 Broad Beans And Horse Beans, Dried, Shelled, Nesoi (kg)",Egypt,2023,"150,370",
0714101000 Cassava (manioc) Frozen (kg),Congo (Kinshasa),2023,"18,870",
"0714201000 Sweet Potatoes, Frozen Whether/nt Sliced/pellets (kg)",Egypt,2023,"425,280",
"0714202000 Sweet Potatoes, Fresh Or Dried, W/nt Sliced/pellet (kg)",Egypt,2023,"33,666",
"0714402000 Taro, Frozen (kg)",Egypt,2023,"14,940",
"0714904600 Roots & Tubers W/ High Starch Or Inulin, Fz,nesoi (kg)",Egypt,2023,"75,785",
"0801310000 Cashew Nuts, Fresh Or Dried, In Shell (kg)",Cote d'Ivoire,2023,"73,920",
"0801320000 Cashew Nuts, Fresh Or Dried, Shelled (kg)",Cote d'Ivoire,2023,"33,909,542",
"0804104000 Dates, Whole, With Pits, Fresh Or Dried, Nesoi (kg)",Egypt,2023,"78,955",
"0804306000 Pineapples, Fresh Or Dried, Reduced In Size (kg)",Egypt,2023,"49,786",
"0804508010 Mangoes, Dried (kg)",Cote d'Ivoire,2023,"393,490",
"0805502010 Lemons, Certified Organic, Fresh Or Dried (kg)",Egypt,2023,"7,700",
"0805502050 Lemons, Fresh Or Dried, Nesoi (kg)",Egypt,2023,"100,565",
0805504000 Limes (citrus Aurantifolia) Fresh Or Dried (kg),Egypt,2023,"5,750",
"0811100020 Strawberries Uncookd/cookd By Water, Fz, Lt=1.2 L (kg)",Egypt,2023,"553,697",
"0811100050 Strawberries, Fz, Gt 1.2 L, Lt=25% Cane/beet Sugar (kg)",Egypt,2023,"142,506",
"0811100070 Strawberries,raw/cookd By Water, Fz, Gt 1.2L,NESOI (kg)",Egypt,2023,"21,473,938",
"0811202025 Raspberries, Red, Frozen, Uncooked/cooked In Water (kg)",Egypt,2023,"684,405",
"0811905200 Mangoes, Uncooked/cooked By Water, Frozen (kg)",Egypt,2023,"33,000",
